CustomerId,TransactionStartTime,Value,Amount,TransactionId,BatchId,SubscriptionId,CurrencyCode,CountryCode,ProviderId,ProductId,ProductCategory,ChannelId,TransactionStatus,IssuedDateLoan,AmountLoan,Currency,LoanId,PaidOnDate,IsFinalPayBack,InvestorId,DueDate,LoanApplicationId,PayBackId,ThirdPartyId,IsThirdPartyConfirmed,IsDefaulted,source_dataset,row_id,customer_prior_txn_count,customer_prior_abs_amount_sum,customer_prior_abs_value_sum,customer_prior_abs_amount_mean,customer_prior_abs_value_mean,customer_prior_max_abs_amount,customer_days_since_prev_txn,customer_tenure_days,customer_prior_unique_product_categories,customer_prior_unique_channels,customer_prior_same_product_count,customer_prior_same_channel_count,customer_prior_weekend_share,abs_amount,abs_value,amount_value_gap,amount_to_value_ratio,log_abs_amount,log_abs_value,txn_month,txn_day,txn_hour,txn_weekday,txn_is_weekend,issue_month,issue_day,issue_hour,issue_to_txn_minutes,log_customer_prior_abs_amount_sum,log_customer_prior_abs_value_sum,log_customer_prior_abs_amount_mean,log_customer_prior_abs_value_mean,log_customer_prior_max_abs_amount,log_customer_days_since_prev_txn,log_customer_tenure_days
CustomerId_258,2018-10-18 16:11:55,10000.0,-10000.0,TransactionId_1041,BatchId_1970,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-18 16:11:53,10016.0,UGX,LoanId_62,2018-10-22 09:13:17,1.0,InvestorId_3,2018-11-17 16:11:04,,PayBackId_1791,ThirdPartyId_648,0.0,0,TRAIN,TRAIN_9,2,20000.0,20000.0,10000.0,10000.0,10000.0,0.0,0.0,1,1,2,2,0.0,10000.0,10000.0,0.0,1.0,9.210440366976517,9.210440366976517,10,18,16,3,0,10.0,18.0,16.0,0.03333333333333333,9.90353755128617,9.90353755128617,9.210440366976517,9.210440366976517,9.210440366976517,0.0,0.0
CustomerId_258,2018-10-18 16:11:55,10000.0,-10000.0,TransactionId_1041,BatchId_1970,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-18 16:11:53,584.0,UGX,LoanId_62,2018-10-23 07:34:35,1.0,InvestorId_3,2018-11-17 16:11:04,,PayBackId_1067,ThirdPartyId_68,0.0,0,TRAIN,TRAIN_10,0,0.0,0.0,,,0.0,,0.0,0,0,0,0,,10000.0,10000.0,0.0,1.0,9.210440366976517,9.210440366976517,10,18,16,3,0,10.0,18.0,16.0,0.03333333333333333,0.0,0.0,,,0.0,,0.0
CustomerId_258,2018-10-18 16:11:55,10000.0,-10000.0,TransactionId_1041,BatchId_1970,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-18 16:11:53,100.0,UGX,LoanId_62,2018-10-25 08:58:07,1.0,InvestorId_3,2018-11-17 16:11:04,,PayBackId_928,ThirdPartyId_1883,0.0,0,TRAIN,TRAIN_11,1,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,1,1,1,1,0.0,10000.0,10000.0,0.0,1.0,9.210440366976517,9.210440366976517,10,18,16,3,0,10.0,18.0,16.0,0.03333333333333333,9.210440366976517,9.210440366976517,9.210440366976517,9.210440366976517,9.210440366976517,0.0,0.0
CustomerId_233,2018-10-19 10:18:33,5150.0,-5150.0,TransactionId_1598,BatchId_1458,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-19 10:18:31,5614.0,UGX,LoanId_22,2018-10-30 06:50:37,1.0,InvestorId_3,2018-11-18 10:16:06,,PayBackId_647,ThirdPartyId_1484,0.0,0,TRAIN,TRAIN_13,0,0.0,0.0,,,0.0,,0.0,0,0,0,0,,5150.0,5150.0,0.0,1.0,8.546946149565585,8.546946149565585,10,19,10,4,0,10.0,19.0,10.0,0.03333333333333333,0.0,0.0,,,0.0,,0.0
CustomerId_233,2018-10-19 11:01:30,515.0,-515.0,TransactionId_2115,BatchId_1672,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-19 11:01:28,544.0,UGX,LoanId_368,2018-10-22 16:11:37,1.0,InvestorId_3,2018-11-18 11:00:56,,PayBackId_1267,ThirdPartyId_949,0.0,0,TRAIN,TRAIN_14,1,5150.0,5150.0,5150.0,5150.0,5150.0,0.02982638888888889,0.02982638888888889,1,1,1,1,0.0,515.0,515.0,0.0,1.0,6.246106765481563,6.246106765481563,10,19,11,4,0,10.0,19.0,11.0,0.03333333333333333,8.546946149565585,8.546946149565585,8.546946149565585,8.546946149565585,8.546946149565585,0.029390233557835224,0.029390233557835224
CustomerId_233,2018-10-22 16:04:25,5000.0,-5000.0,TransactionId_2632,BatchId_775,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-22 16:04:22,5375.0,UGX,LoanId_317,2018-10-30 06:49:57,1.0,InvestorId_3,2018-11-21 16:03:32,LoanApplicationId_1629,PayBackId_1719,ThirdPartyId_1010,0.0,0,TRAIN,TRAIN_15,2,5665.0,5665.0,2832.5,2832.5,5150.0,3.2103587962962963,3.2401851851851853,1,1,2,2,0.0,5000.0,5000.0,0.0,1.0,8.517393171418904,8.517393171418904,10,22,16,0,0,10.0,22.0,16.0,0.05,8.642238680390461,8.642238680390461,7.949267975609674,7.949267975609674,8.546946149565585,1.4375478688363323,1.4446069440413314
CustomerId_305,2018-10-23 13:12:23,500.0,-500.0,TransactionId_1297,BatchId_2016,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-23 13:12:21,543.0,UGX,LoanId_1619,2018-10-23 13:18:42,1.0,InvestorId_2,2018-11-22 13:12:16,LoanApplicationId_136,PayBackId_725,ThirdPartyId_1566,0.0,0,TRAIN,TRAIN_17,0,0.0,0.0,,,0.0,,0.0,0,0,0,0,,500.0,500.0,0.0,1.0,6.2166061010848646,6.2166061010848646,10,23,13,1,0,10.0,23.0,13.0,0.03333333333333333,0.0,0.0,,,0.0,,0.0
CustomerId_27,2018-10-23 15:20:58,1000.0,-1000.0,TransactionId_1367,BatchId_1675,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-23 15:20:55,1085.0,UGX,LoanId_1438,2018-10-23 15:26:58,1.0,InvestorId_2,2018-11-22 15:20:53,LoanApplicationId_1171,PayBackId_1085,ThirdPartyId_1265,0.0,0,TRAIN,TRAIN_18,11,8650.0,8650.0,786.3636363636364,786.3636363636364,1235.0,0.9138773148148148,32.127303240740744,1,1,11,11,0.0,1000.0,1000.0,0.0,1.0,6.90875477931522,6.90875477931522,10,23,15,1,0,10.0,23.0,15.0,0.05,9.065430200180375,9.065430200180375,6.668690195532674,6.668690195532674,7.119635638017636,0.6491311921335093,3.50035781368511
CustomerId_27,2018-10-23 15:31:27,500.0,-500.0,TransactionId_871,BatchId_2449,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-24 06:34:00,543.0,UGX,LoanId_1304,2018-10-24 06:38:49,1.0,InvestorId_2,2018-11-23 06:33:57,LoanApplicationId_702,PayBackId_763,ThirdPartyId_1962,0.0,0,TRAIN,TRAIN_19,12,9650.0,9650.0,804.1666666666666,804.1666666666666,1235.0,0.007280092592592592,32.13458333333333,1,1,12,12,0.0,500.0,500.0,0.0,1.0,6.2166061010848646,6.2166061010848646,10,23,15,1,0,10.0,24.0,6.0,-902.55,9.174816815907135,9.174816815907135,6.691049295326351,6.691049295326351,7.119635638017636,0.007253720634694153,3.5005775506409464
CustomerId_27,2018-10-24 06:56:02,500.0,-500.0,TransactionId_1019,BatchId_1564,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_4,data_bundles,ChannelId_1,1,2018-10-24 06:56:00,543.0,UGX,LoanId_1436,2018-10-24 07:01:48,1.0,InvestorId_2,2018-11-23 06:55:58,LoanApplicationId_508,PayBackId_1228,ThirdPartyId_2008,0.0,0,TRAIN,TRAIN_20,13,10150.0,10150.0,780.7692307692307,780.7692307692307,1235.0,0.6420717592592593,32.77665509259259,1,1,0,13,0.0,500.0,500.0,0.0,1.0,6.2166061010848646,6.2166061010848646,10,24,6,2,0,10.0,24.0,6.0,0.03333333333333333,9.225327501784431,9.225327501784431,6.66155959567623,6.66155959567623,7.119635638017636,0.4959587124256572,3.519769886127277
CustomerId_233,2018-10-24 11:37:16,500.0,-500.0,TransactionId_2,BatchId_1854,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-24 11:37:13,520.0,UGX,LoanId_1435,2018-10-24 11:40:34,1.0,InvestorId_2,2018-11-23 11:37:11,LoanApplicationId_1546,PayBackId_1842,ThirdPartyId_679,0.0,0,TRAIN,TRAIN_22,3,10665.0,10665.0,3555.0,3555.0,5150.0,1.8144791666666666,5.0546643518518515,1,1,3,3,0.0,500.0,500.0,0.0,1.0,6.2166061010848646,6.2166061010848646,10,24,11,2,0,10.0,24.0,11.0,0.05,9.274816391160547,9.274816391160547,8.176391596633795,8.176391596633795,8.546946149565585,1.0347772237508874,1.8008289422484047
CustomerId_233,2018-10-24 15:28:13,1000.0,-1000.0,TransactionId_1995,BatchId_2068,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-24 15:28:11,1065.0,UGX,LoanId_183,2018-10-30 06:49:17,1.0,InvestorId_2,2018-11-23 15:28:05,LoanApplicationId_376,PayBackId_982,ThirdPartyId_1147,0.0,0,TRAIN,TRAIN_23,4,11165.0,11165.0,2791.25,2791.25,5150.0,0.16038194444444445,5.215046296296296,1,1,4,4,0.0,1000.0,1000.0,0.0,1.0,6.90875477931522,6.90875477931522,10,24,15,2,0,10.0,24.0,15.0,0.03333333333333333,9.320628725870305,9.320628725870305,7.934603001420936,7.934603001420936,8.546946149565585,0.1487492133753953,1.826973174057423
CustomerId_474,2018-10-25 10:36:28,500.0,-500.0,TransactionId_2181,BatchId_1540,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-25 10:36:26,520.0,UGX,LoanId_1522,2018-10-25 14:56:33,1.0,InvestorId_2,2018-11-24 10:36:18,LoanApplicationId_1247,PayBackId_317,ThirdPartyId_1152,0.0,0,TRAIN,TRAIN_24,0,0.0,0.0,,,0.0,,0.0,0,0,0,0,,500.0,500.0,0.0,1.0,6.2166061010848646,6.2166061010848646,10,25,10,3,0,10.0,25.0,10.0,0.03333333333333333,0.0,0.0,,,0.0,,0.0
CustomerId_474,2018-10-26 09:19:02,10000.0,-10000.0,TransactionId_2299,BatchId_500,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-26 09:19:00,10000.0,UGX,LoanId_934,2019-05-16 07:25:29,1.0,InvestorId_2,2018-11-25 09:18:58,LoanApplicationId_164,PayBackId_1899,ThirdPartyId_601,0.0,1,TRAIN,TRAIN_26,1,500.0,500.0,500.0,500.0,500.0,0.9462268518518518,0.9462268518518518,1,1,1,1,0.0,10000.0,10000.0,0.0,1.0,9.210440366976517,9.210440366976517,10,26,9,4,0,10.0,26.0,9.0,0.03333333333333333,6.2166061010848646,6.2166061010848646,6.2166061010848646,6.2166061010848646,6.2166061010848646,0.6658925503776019,0.6658925503776019
CustomerId_233,2018-10-26 15:37:19,5000.0,-5000.0,TransactionId_1950,BatchId_2438,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-26 15:37:16,5275.0,UGX,LoanId_676,2018-10-30 06:48:41,1.0,InvestorId_2,2018-11-25 15:37:14,LoanApplicationId_1411,PayBackId_783,ThirdPartyId_719,0.0,0,TRAIN,TRAIN_27,5,12165.0,12165.0,2433.0,2433.0,5150.0,2.0063194444444443,7.22136574074074,1,1,5,5,0.0,5000.0,5000.0,0.0,1.0,8.517393171418904,8.517393171418904,10,26,15,4,0,10.0,26.0,15.0,0.05,9.40640045488065,9.40640045488065,7.797291273547472,7.797291273547472,8.546946149565585,1.100716554628233,2.1067363437755597
