LoanId,rows_per_loan,unique_targets
LoanId_1,1,1
LoanId_100,1,1
LoanId_1001,1,1
LoanId_1002,1,1
LoanId_1003,1,1
LoanId_1005,2,1
LoanId_1006,1,1
LoanId_1007,1,1
LoanId_1008,1,1
LoanId_101,1,1
LoanId_1011,1,1
LoanId_1012,1,1
LoanId_1013,1,1
LoanId_1015,1,1
LoanId_1016,1,1
LoanId_1017,2,1
LoanId_1019,1,1
LoanId_102,1,1
LoanId_1021,1,1
LoanId_1023,1,1
LoanId_1024,1,1
LoanId_1025,1,1
LoanId_1030,1,1
LoanId_1031,1,1
LoanId_1032,1,1
LoanId_1034,1,1
LoanId_1035,1,1
LoanId_1036,1,1
LoanId_1038,2,1
LoanId_1039,1,1
LoanId_104,1,1
LoanId_1040,1,1
LoanId_1041,1,1
LoanId_1044,1,1
LoanId_1045,1,1
LoanId_1046,2,1
LoanId_1047,1,1
LoanId_1049,1,1
LoanId_1050,1,1
LoanId_1051,2,1
LoanId_1052,1,1
LoanId_1053,3,1
LoanId_1054,1,1
LoanId_1055,1,1
LoanId_1056,1,1
LoanId_1057,1,1
LoanId_1058,1,1
LoanId_1059,1,1
LoanId_106,1,1
LoanId_1060,1,1
LoanId_1061,1,1
LoanId_1062,1,1
LoanId_1063,1,1
LoanId_1064,2,1
LoanId_1066,1,1
LoanId_1068,1,1
LoanId_1069,1,1
LoanId_107,1,1
LoanId_1070,1,1
LoanId_1071,1,1
LoanId_1072,1,1
LoanId_1076,1,1
LoanId_1077,2,1
LoanId_1078,1,1
LoanId_1079,1,1
LoanId_1080,1,1
LoanId_1083,1,1
LoanId_1084,1,1
LoanId_1085,2,1
LoanId_1087,1,1
LoanId_1088,1,1
LoanId_1089,1,1
LoanId_109,1,1
LoanId_1091,1,1
LoanId_1092,1,1
LoanId_1093,1,1
LoanId_1094,1,1
LoanId_1096,9,1
LoanId_1099,1,1
LoanId_11,1,1
LoanId_110,1,1
LoanId_1100,1,1
LoanId_1103,1,1
LoanId_1104,1,1
LoanId_1105,1,1
LoanId_1106,1,1
